Issue-link,Issue-Title,Type of Libraries
https://github.com/TNG/ArchUnit/issues/182,Allow `@AnalyzeClasses` to be used as a meta annotation,Architecture
https://github.com/moditect/deptective,/moditect/deptective/issues/37,Colorizes nodes of dependency visualization based on number of ingoing references,Architecture
https://github.com/joel-costigliola/assertj-core,/joel-costigliola/assertj-core/issues/1355,Describe actual Throwables when ThrowableAssert fails,Assertions
https://github.com/joel-costigliola/assertj-core,/joel-costigliola/assertj-core/issues/1248,Converting your JUnit assertions to AssertJ fails in some cases,Assertions
https://github.com/joel-costigliola/assertj-core,/joel-costigliola/assertj-core/issues/778,Use mutation testing (Pitest) for the AssertJ tests,Assertions
https://github.com/google/truth,/google/truth/issues/634,IterableSubject constructor documentation for check method,Assertions
https://github.com/google/truth,/google/truth/issues/528,Update documentation for gradle,Assertions
https://github.com/google/truth,/google/truth/issues/594,Truth inorder not fully documented,Assertions
https://github.com/google/truth,/google/truth/issues/602,JavaDoc links to developers.google.com,Assertions
https://github.com/google/truth,/google/truth/issues/543,Make Expect throw ComparisonFailure when possible,Assertions
https://github.com/google/truth,/google/truth/issues/485,Where is the documentation? ,Assertions
https://github.com/google/truth,/google/truth/issues/334,Add new assertions to PathSubject,Assertions
https://github.com/google/truth,/google/truth/issues/268,"Document that isEqualTo is not for testing equals(), etc.",Assertions
https://github.com/google/truth,/google/truth/issues/211,Decide and document how inOrder() works with Multimap,Assertions
https://github.com/google/truth,/google/truth/issues/208,Expand and externalize our docs on writing your own Subject,Assertions
https://github.com/hamcrest/JavaHamcrest,/hamcrest/JavaHamcrest/issues/191,Migrate Tutorial to GitHub wiki,Assertions
https://github.com/RepreZen/KaiZen-OpenApi-Parser,/RepreZen/KaiZen-OpenApi-Parser/issues/236,Getting Started Example does not fail on the callback-example,API
https://github.com/RepreZen/KaiZen-OpenApi-Parser,/RepreZen/KaiZen-OpenApi-Parser/issues/99,"Document JSON-Overlay framework, consider extracting to separate project",API
https://github.com/intuit/karate,/intuit/karate/issues/951,Doc strings result in request loop,API Testing
https://github.com/intuit/karate,/intuit/karate/issues/1003,[0.9.5.RC5] Log not appearing in HTML report for dynamic scenario outline,API Testing
https://github.com/intuit/karate,/intuit/karate/issues/827,improve and unify cli execution,API Testing
https://github.com/intuit/karate,/intuit/karate/issues/879,Add the ability to set resources in the Builder,API Testing
https://github.com/rest-assured/rest-assured,/rest-assured/rest-assured/issues/1145,Wiki Encoder config samples are wrong,API Testing
https://github.com/rest-assured/rest-assured,/rest-assured/rest-assured/issues/1134,Broken URL in docs,API Testing
https://github.com/rest-assured/rest-assured,/rest-assured/rest-assured/issues/1050,Access denied for docs,API Testing
https://github.com/rest-assured/rest-assured,/rest-assured/rest-assured/issues/1097,idiomatic example needed POST with form fields URL encoded ,API Testing
https://github.com/rest-assured/rest-assured,/rest-assured/rest-assured/issues/842,Integrate swagger with RestAssured,API Testing
https://github.com/rest-assured/rest-assured,/rest-assured/rest-assured/issues/609,Create alias for 'when' so that no escaping is required in Kotlin,API Testing
https://github.com/rest-assured/rest-assured,/rest-assured/rest-assured/issues/487,Add ability to pretty print RequestSpecification,API Testing
https://github.com/aws/aws-sdk-java,/aws/aws-sdk-java/issues/2134,Mention SdkClientException in AWSCredentialsProvider Code or Docs.,AWS
https://github.com/aws/aws-sdk-java,/aws/aws-sdk-java/issues/2136,"Support for EKS 'IAM for service accounts'  not default [1.11.623, 1.11.653]",AWS
https://github.com/aws/aws-sdk-java,/aws/aws-sdk-java/issues/2003,Enable Additional Machine JVM Metrics in aws-java-sdk-cloudwatchmetrics,AWS
https://github.com/aws/aws-sdk-java,/aws/aws-sdk-java/issues/1378, randomSeed dataRearrangement documentation contains invalid json,AWS
https://github.com/aws/aws-sdk-java,/aws/aws-sdk-java/issues/1433,Feature Request: EC2 Resource Serialization for Cloud Formation Template,AWS
https://github.com/aws/aws-sdk-java,/aws/aws-sdk-java/issues/1303,Replace S3 downloadInParallel by using Content-Range requests instead of undocumented S3 part requests,AWS
https://github.com/aws/aws-sdk-java,/aws/aws-sdk-java/issues/803,aws-cli role assumption profiles are incompatible with SDK,AWS
https://github.com/cucumber/cucumber-jvm,/cucumber/cucumber-jvm/issues/1717,Document available properties,BDD
https://github.com/cucumber/cucumber-jvm,/cucumber/cucumber-jvm/issues/1470,Use TestContextManager in cucumber-spring,BDD
https://github.com/cucumber/cucumber-jvm,/cucumber/cucumber-jvm/issues/1810,Add JavaDoc to all @API annotated classes,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/1002,Housekeeping updating the @Issue references,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/1059,Documentation for Hamcrest support,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/1057,Documentation for DetachedMockFactory,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/1058,Documentation for spock.util.concurrent classes,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/1037,Dead cross-page links in all_in_one documentation,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/1018,Wrong JavaDoc with invalid syntax,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/855,"Spock Soft Assertions ( verifyall() ) does not work with Power Asserts, AssertThat from AssertJ, etc",BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/899,Spock modules should depend on the minimum amount of Groovy 2.5,BDD
